


+------------------+-------------------------------------------+-------------------------------------------+-----------------+---------+----------------+---------+------+------+------+------+------------+------------+------------+----------------------------------+------------------------------------------+------------------------------------------------------------------+--------+------------+
| line             | path                                      | target_path                               | category        | action  | transaction_id | inode   | uid  | gid  | mode | size | atime      | mtime      | ctime      | md5                              | sha1                                     | sha256                                                           | hashed | time       |
| Im adding line 6 | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 21   | 1772741084 | 1772741084 | 1772741084 | 154c74295bd4de751d5ecbcc2ab94489 | 3db1a7f4cb2111ea983589bfd48707198c8909f9 | 2d92873b4c06c03155506248add0ca0e6b8e60e8fe6a177aa600d289ef5834df | 1      | 1772741084 |
| line1            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 21   | 1772741084 | 1772741084 | 1772741084 | 154c74295bd4de751d5ecbcc2ab94489 | 3db1a7f4cb2111ea983589bfd48707198c8909f9 | 2d92873b4c06c03155506248add0ca0e6b8e60e8fe6a177aa600d289ef5834df | 1      | 1772741084 |
| line2            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 21   | 1772741084 | 1772741084 | 1772741084 | 154c74295bd4de751d5ecbcc2ab94489 | 3db1a7f4cb2111ea983589bfd48707198c8909f9 | 2d92873b4c06c03155506248add0ca0e6b8e60e8fe6a177aa600d289ef5834df | 1      | 1772741084 |
| line3            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 21   | 1772741084 | 1772741084 | 1772741084 | 154c74295bd4de751d5ecbcc2ab94489 | 3db1a7f4cb2111ea983589bfd48707198c8909f9 | 2d92873b4c06c03155506248add0ca0e6b8e60e8fe6a177aa600d289ef5834df | 1      | 1772741084 |
|                  | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 21   | 1772741084 | 1772741084 | 1772741084 | 154c74295bd4de751d5ecbcc2ab94489 | 3db1a7f4cb2111ea983589bfd48707198c8909f9 | 2d92873b4c06c03155506248add0ca0e6b8e60e8fe6a177aa600d289ef5834df | 1      | 1772741084 |
| line5            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 21   | 1772741084 | 1772741084 | 1772741084 | 154c74295bd4de751d5ecbcc2ab94489 | 3db1a7f4cb2111ea983589bfd48707198c8909f9 | 2d92873b4c06c03155506248add0ca0e6b8e60e8fe6a177aa600d289ef5834df | 1      | 1772741084 |
| Im adding line 6 | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 21   | 1772741084 | 1772741084 | 1772741084 | 154c74295bd4de751d5ecbcc2ab94489 | 3db1a7f4cb2111ea983589bfd48707198c8909f9 | 2d92873b4c06c03155506248add0ca0e6b8e60e8fe6a177aa600d289ef5834df | 1      | 1772741084 |
| line1            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 25   | 1772741084 | 1772741301 | 1772741301 | 676a77942ce33092c7f8e9c32f86845c | a788278e2d130d51587384b7a767a2ef2d9e8f89 | 5f8180def10fdc1e55a146c53329c09134cf3f4ea31e886cceb762af29603641 | 1      | 1772741301 |
| line2            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 25   | 1772741084 | 1772741301 | 1772741301 | 676a77942ce33092c7f8e9c32f86845c | a788278e2d130d51587384b7a767a2ef2d9e8f89 | 5f8180def10fdc1e55a146c53329c09134cf3f4ea31e886cceb762af29603641 | 1      | 1772741301 |
| line3            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 25   | 1772741084 | 1772741301 | 1772741301 | 676a77942ce33092c7f8e9c32f86845c | a788278e2d130d51587384b7a767a2ef2d9e8f89 | 5f8180def10fdc1e55a146c53329c09134cf3f4ea31e886cceb762af29603641 | 1      | 1772741301 |
|                  | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 25   | 1772741084 | 1772741301 | 1772741301 | 676a77942ce33092c7f8e9c32f86845c | a788278e2d130d51587384b7a767a2ef2d9e8f89 | 5f8180def10fdc1e55a146c53329c09134cf3f4ea31e886cceb762af29603641 | 1      | 1772741301 |
| line5            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 25   | 1772741084 | 1772741301 | 1772741301 | 676a77942ce33092c7f8e9c32f86845c | a788278e2d130d51587384b7a767a2ef2d9e8f89 | 5f8180def10fdc1e55a146c53329c09134cf3f4ea31e886cceb762af29603641 | 1      | 1772741301 |
| Im adding line 6 | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 25   | 1772741084 | 1772741301 | 1772741301 | 676a77942ce33092c7f8e9c32f86845c | a788278e2d130d51587384b7a767a2ef2d9e8f89 | 5f8180def10fdc1e55a146c53329c09134cf3f4ea31e886cceb762af29603641 | 1      | 1772741301 |
| line1            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 25   | 1772741301 | 1772741301 | 1772741301 | 676a77942ce33092c7f8e9c32f86845c | a788278e2d130d51587384b7a767a2ef2d9e8f89 | 5f8180def10fdc1e55a146c53329c09134cf3f4ea31e886cceb762af29603641 | 1      | 1772741301 |
| line2            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 25   | 1772741301 | 1772741301 | 1772741301 | 676a77942ce33092c7f8e9c32f86845c | a788278e2d130d51587384b7a767a2ef2d9e8f89 | 5f8180def10fdc1e55a146c53329c09134cf3f4ea31e886cceb762af29603641 | 1      | 1772741301 |
| line3            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 25   | 1772741301 | 1772741301 | 1772741301 | 676a77942ce33092c7f8e9c32f86845c | a788278e2d130d51587384b7a767a2ef2d9e8f89 | 5f8180def10fdc1e55a146c53329c09134cf3f4ea31e886cceb762af29603641 | 1      | 1772741301 |
|                  | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 25   | 1772741301 | 1772741301 | 1772741301 | 676a77942ce33092c7f8e9c32f86845c | a788278e2d130d51587384b7a767a2ef2d9e8f89 | 5f8180def10fdc1e55a146c53329c09134cf3f4ea31e886cceb762af29603641 | 1      | 1772741301 |
| line5            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 25   | 1772741301 | 1772741301 | 1772741301 | 676a77942ce33092c7f8e9c32f86845c | a788278e2d130d51587384b7a767a2ef2d9e8f89 | 5f8180def10fdc1e55a146c53329c09134cf3f4ea31e886cceb762af29603641 | 1      | 1772741301 |
| Im adding line 6 | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 25   | 1772741301 | 1772741301 | 1772741301 | 676a77942ce33092c7f8e9c32f86845c | a788278e2d130d51587384b7a767a2ef2d9e8f89 | 5f8180def10fdc1e55a146c53329c09134cf3f4ea31e886cceb762af29603641 | 1      | 1772741301 |
| line1            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 25   | 1772741301 | 1772741301 | 1772741301 | 676a77942ce33092c7f8e9c32f86845c | a788278e2d130d51587384b7a767a2ef2d9e8f89 | 5f8180def10fdc1e55a146c53329c09134cf3f4ea31e886cceb762af29603641 | 1      | 1772741301 |
| line2            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 25   | 1772741301 | 1772741301 | 1772741301 | 676a77942ce33092c7f8e9c32f86845c | a788278e2d130d51587384b7a767a2ef2d9e8f89 | 5f8180def10fdc1e55a146c53329c09134cf3f4ea31e886cceb762af29603641 | 1      | 1772741301 |
| line3            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 25   | 1772741301 | 1772741301 | 1772741301 | 676a77942ce33092c7f8e9c32f86845c | a788278e2d130d51587384b7a767a2ef2d9e8f89 | 5f8180def10fdc1e55a146c53329c09134cf3f4ea31e886cceb762af29603641 | 1      | 1772741301 |
|                  | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 25   | 1772741301 | 1772741301 | 1772741301 | 676a77942ce33092c7f8e9c32f86845c | a788278e2d130d51587384b7a767a2ef2d9e8f89 | 5f8180def10fdc1e55a146c53329c09134cf3f4ea31e886cceb762af29603641 | 1      | 1772741301 |
| line5            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 25   | 1772741301 | 1772741301 | 1772741301 | 676a77942ce33092c7f8e9c32f86845c | a788278e2d130d51587384b7a767a2ef2d9e8f89 | 5f8180def10fdc1e55a146c53329c09134cf3f4ea31e886cceb762af29603641 | 1      | 1772741301 |
| Im adding line 6 | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 25   | 1772741301 | 1772741301 | 1772741301 | 676a77942ce33092c7f8e9c32f86845c | a788278e2d130d51587384b7a767a2ef2d9e8f89 | 5f8180def10fdc1e55a146c53329c09134cf3f4ea31e886cceb762af29603641 | 1      | 1772741301 |
| line1            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 0    | 1772741301 | 1772741503 | 1772741503 | d41d8cd98f00b204e9800998ecf8427e | da39a3ee5e6b4b0d3255bfef95601890afd80709 | e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 | 1      | 1772741503 |
